Product ID,Product Name,Image URL,Exit URL,Price (€),Offer Period
2060315900004,"Lõhefilee jahutatud, kg",https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/AQaCZM7k4V4AJEQIwoMRKn.jpg,https://www.prismamarket.ee/toode/lohefilee-jahutatud-kg/2060315900004,11.99,18.-24.06
6411960010208,"Grillsüsi 30 l, kõrgekvaliteediline lehtpuusüsi",https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/0zrqs8ubKsnA5H6HkYw1MQ.jpg,https://www.prismamarket.ee/toode/grillsusi-30-l-korgekvaliteediline-lehtpuususi/6411960010208,6.99,18.-24.06
4740171183442,Värska grillliha kaelakarbonaadist 500G,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/8kqqQMr34_B9-SBBXy4u_C.jpg,https://www.prismamarket.ee/toode/varska-grillliha-kaelakarbonaadist-500g/4740171183442,3.59,18.-24.06
2060178800008,Kurk lühike kg,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/Bg-dqc1p4bKBuSb7bOY08P.jpg,https://www.prismamarket.ee/toode/kurk-luhike-kg/2060178800008,0.16,18.-24.06
4740046012860,Äädikamarinaadis broilerikoivaliha šašlõkk 700g,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/8Kk1HoHf4Zr9usmYh_SF-I.jpg,https://www.prismamarket.ee/toode/aadikamarinaadis-broilerikoivaliha-saslokk-700g/4740046012860,3.99,18.-24.06
8711327622289,"Magnum Euphoria pulgajäätis 90ml/69,5g",https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/23gM2Utpa1G9OVoh9LMz38.jpg,https://www.prismamarket.ee/toode/magnum-euphoria-pulgajaatis-90ml69-5g/8711327622289,0.99,18.-24.06
8711327622869,Magnum Vegan Chill pulgajäätis 90ml/70g,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/0xI1RmhU46TB_GFFvz-xZD.jpg,https://www.prismamarket.ee/toode/magnum-vegan-chill-pulgajaatis-90ml70g/8711327622869,0.99,18.-24.06
2060284300003,Kobartomat I klass,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/7ce1tNNTK8EBev85lrWCmv.jpg,https://www.prismamarket.ee/toode/kobartomat-i-klass/2060284300003,0.18,18.-24.06
8711327660601,"Mandlijäätis, vegan, 90 ml",https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/3--RNqoSa6VBWfxqXcA5se.jpg,https://www.prismamarket.ee/toode/mandlijaatis-vegan-90-ml/8711327660601,0.99,18.-24.06
5000112651928,Sprite karastusjook 1L,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/0EVANtLoK6EASC4zG0D11k.jpg,https://www.prismamarket.ee/toode/sprite-karastusjook-1l/5000112651928,1.55,18.-24.06
5449000093899,Coca-Cola Cherry karastusjook 1L,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/6nJHr_p5qDhBBqlzjBNDF6.jpg,https://www.prismamarket.ee/toode/coca-cola-cherry-karastusjook-1l/5449000093899,1.55,18.-24.06
5000112651676,Fanta Apelsini karastusjook 1l,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/0Z2CxlICKVIAJb3tw7IZEH.jpg,https://www.prismamarket.ee/toode/fanta-apelsini-karastusjook-1l/5000112651676,1.55,18.-24.06
5000112651300,Karastusjook Coca-Cola 1L,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/Fi4XvBGgKIV9RjqtTpsC1e.jpg,https://www.prismamarket.ee/toode/karastusjook-coca-cola-1l/5000112651300,0.98,18.-24.06
5000112651379,Karastusjook Coca-Cola Zero 1L,https://cdn.s-cloud.fi/v1/w384_h384_q75/assets/dam-id/1XMs7tYEah6AA_QiVCX9Pr.jpg,https://www.prismamarket.ee/toode/karastusjook-coca-cola-zero-1l/5000112651379,0.98,18.-24.06
